Ctes,Segmento,Tipo,Mes,Anio,Edad
1,Sin Segmento,Credito,Jan,2017,55 a 65
1,Sin Segmento,Credito,Jan,2017,55 a 65
2,Sin Segmento,Credito,Jan,2017,55 a 65
1,Sin Segmento,Credito,Jan,2017,55 a 65
1,Sin Segmento,Credito,Jan,2017,65 +
2,Sin Segmento,Credito,Jan,2017,65 +
1,Sin Segmento,Credito,Jan,2017,65 +
1,Sin Segmento,Credito,Jan,2017,65 +
473,Sin Segmento,Credito,Feb,2017,Sin Info
1,Sin Segmento,Credito,Feb,2017,18 a 25
1,Sin Segmento,Credito,Feb,2017,18 a 25
1,Sin Segmento,Credito,Feb,2017,25 a 30
2,Sin Segmento,Credito,Feb,2017,25 a 30
2,Sin Segmento,Credito,Feb,2017,25 a 30
1,Sin Segmento,Credito,Feb,2017,25 a 30
1,Sin Segmento,Credito,Feb,2017,25 a 30
1,Sin Segmento,Credito,Feb,2017,35 a 45
1,Sin Segmento,Credito,Feb,2017,35 a 45
2,Sin Segmento,Credito,Feb,2017,35 a 45
2,Sin Segmento,Credito,Feb,2017,35 a 45
2,Sin Segmento,Credito,Feb,2017,35 a 45
1,Sin Segmento,Credito,Feb,2017,45 a 55
1,Sin Segmento,Credito,Feb,2017,45 a 55
1,Sin Segmento,Credito,Feb,2017,45 a 55
1,Sin Segmento,Credito,Feb,2017,45 a 55
2,Sin Segmento,Credito,Feb,2017,45 a 55
1,Sin Segmento,Credito,Feb,2017,55 a 65
1,Sin Segmento,Credito,Feb,2017,55 a 65
1,Sin Segmento,Credito,Feb,2017,65 +
491,Sin Segmento,Credito,Aug,2016,Sin Info
1,Sin Segmento,Credito,Aug,2016,18 a 25
2,Sin Segmento,Credito,Aug,2016,25 a 30
1,Sin Segmento,Credito,Aug,2016,25 a 30
3,Sin Segmento,Credito,Aug,2016,25 a 30
3,Sin Segmento,Credito,Aug,2016,25 a 30
6,Sin Segmento,Credito,Aug,2016,25 a 30
2,Sin Segmento,Credito,Aug,2016,25 a 30
4,Sin Segmento,Credito,Aug,2016,25 a 30
1,Sin Segmento,Credito,Aug,2016,25 a 30
1,Sin Segmento,Credito,Aug,2016,35 a 45
1,Sin Segmento,Credito,Aug,2016,35 a 45
2,Sin Segmento,Credito,Aug,2016,35 a 45
4,Sin Segmento,Credito,Aug,2016,35 a 45
1,Sin Segmento,Credito,Aug,2016,45 a 55
2,Sin Segmento,Credito,Aug,2016,45 a 55
1,Sin Segmento,Credito,Aug,2016,45 a 55
1,Sin Segmento,Credito,Aug,2016,45 a 55
1,Sin Segmento,Credito,Aug,2016,55 a 65
1,Sin Segmento,Credito,Aug,2016,55 a 65
1,Sin Segmento,Credito,Aug,2016,55 a 65
1,Sin Segmento,Credito,Aug,2016,55 a 65
1,Sin Segmento,Credito,Aug,2016,55 a 65
1,Sin Segmento,Credito,Aug,2016,65 +
1,Sin Segmento,Credito,Aug,2016,65 +
1,Sin Segmento,Credito,Aug,2016,65 +
1,Sin Segmento,Credito,Aug,2016,65 +
1,Sin Segmento,Credito,Aug,2016,65 +
951,Sin Segmento,Credito,Sep,2016,Sin Info
1,Sin Segmento,Credito,Sep,2016,18 a 25
2,Sin Segmento,Credito,Sep,2016,18 a 25
2,Sin Segmento,Credito,Sep,2016,18 a 25
2,Sin Segmento,Credito,Sep,2016,25 a 30
1,Sin Segmento,Credito,Sep,2016,25 a 30
4,Sin Segmento,Credito,Sep,2016,25 a 30
2,Sin Segmento,Credito,Sep,2016,25 a 30
2,Sin Segmento,Credito,Sep,2016,25 a 30
3,Sin Segmento,Credito,Sep,2016,25 a 30
3,Sin Segmento,Credito,Sep,2016,25 a 30
3,Sin Segmento,Credito,Sep,2016,25 a 30
6,Sin Segmento,Credito,Sep,2016,25 a 30
6,Sin Segmento,Credito,Sep,2016,25 a 30
2,Sin Segmento,Credito,Sep,2016,35 a 45
3,Sin Segmento,Credito,Sep,2016,35 a 45
4,Sin Segmento,Credito,Sep,2016,35 a 45
2,Sin Segmento,Credito,Sep,2016,35 a 45
2,Sin Segmento,Credito,Sep,2016,35 a 45
1,Sin Segmento,Credito,Sep,2016,35 a 45
1,Sin Segmento,Credito,Sep,2016,35 a 45
3,Sin Segmento,Credito,Sep,2016,35 a 45
3,Sin Segmento,Credito,Sep,2016,35 a 45
4,Sin Segmento,Credito,Sep,2016,45 a 55
4,Sin Segmento,Credito,Sep,2016,45 a 55
4,Sin Segmento,Credito,Sep,2016,45 a 55
1,Sin Segmento,Credito,Sep,2016,45 a 55
4,Sin Segmento,Credito,Sep,2016,45 a 55
1,Sin Segmento,Credito,Sep,2016,45 a 55
2,Sin Segmento,Credito,Sep,2016,45 a 55
2,Sin Segmento,Credito,Sep,2016,45 a 55
3,Sin Segmento,Credito,Sep,2016,55 a 65
1,Sin Segmento,Credito,Sep,2016,55 a 65
3,Sin Segmento,Credito,Sep,2016,55 a 65
2,Sin Segmento,Credito,Sep,2016,55 a 65
1,Sin Segmento,Credito,Sep,2016,55 a 65
1,Sin Segmento,Credito,Sep,2016,55 a 65
1,Sin Segmento,Credito,Sep,2016,55 a 65
1,Sin Segmento,Credito,Sep,2016,55 a 65
1,Sin Segmento,Credito,Sep,2016,55 a 65
1,Sin Segmento,Credito,Sep,2016,65 +
2,Sin Segmento,Credito,Sep,2016,65 +
3,Sin Segmento,Credito,Sep,2016,65 +
1,Sin Segmento,Credito,Sep,2016,65 +
1,Sin Segmento,Credito,Sep,2016,65 +
1034,Sin Segmento,Credito,Oct,2016,Sin Info
1,Sin Segmento,Credito,Oct,2016,18 a 25
1,Sin Segmento,Credito,Oct,2016,18 a 25
2,Sin Segmento,Credito,Oct,2016,18 a 25
1,Sin Segmento,Credito,Oct,2016,18 a 25
1,Sin Segmento,Credito,Oct,2016,25 a 30
1,Sin Segmento,Credito,Oct,2016,25 a 30
4,Sin Segmento,Credito,Oct,2016,25 a 30
3,Sin Segmento,Credito,Oct,2016,25 a 30
2,Sin Segmento,Credito,Oct,2016,25 a 30
2,Sin Segmento,Credito,Oct,2016,25 a 30
4,Sin Segmento,Credito,Oct,2016,25 a 30
4,Sin Segmento,Credito,Oct,2016,25 a 30
4,Sin Segmento,Credito,Oct,2016,25 a 30
4,Sin Segmento,Credito,Oct,2016,35 a 45
2,Sin Segmento,Credito,Oct,2016,35 a 45
4,Sin Segmento,Credito,Oct,2016,35 a 45
5,Sin Segmento,Credito,Oct,2016,35 a 45
1,Sin Segmento,Credito,Oct,2016,35 a 45
4,Sin Segmento,Credito,Oct,2016,35 a 45
1,Sin Segmento,Credito,Oct,2016,35 a 45
1,Sin Segmento,Credito,Oct,2016,35 a 45
1,Sin Segmento,Credito,Oct,2016,35 a 45
4,Sin Segmento,Credito,Oct,2016,35 a 45
1,Sin Segmento,Credito,Oct,2016,45 a 55
2,Sin Segmento,Credito,Oct,2016,45 a 55
3,Sin Segmento,Credito,Oct,2016,45 a 55
3,Sin Segmento,Credito,Oct,2016,45 a 55
1,Sin Segmento,Credito,Oct,2016,45 a 55
2,Sin Segmento,Credito,Oct,2016,45 a 55
3,Sin Segmento,Credito,Oct,2016,45 a 55
1,Sin Segmento,Credito,Oct,2016,45 a 55
1,Sin Segmento,Credito,Oct,2016,55 a 65
1,Sin Segmento,Credito,Oct,2016,55 a 65
2,Sin Segmento,Credito,Oct,2016,55 a 65
2,Sin Segmento,Credito,Oct,2016,55 a 65
3,Sin Segmento,Credito,Oct,2016,55 a 65
1,Sin Segmento,Credito,Oct,2016,55 a 65
1,Sin Segmento,Credito,Oct,2016,65 +
2,Sin Segmento,Credito,Oct,2016,65 +
1,Sin Segmento,Credito,Oct,2016,65 +
1,Sin Segmento,Credito,Oct,2016,65 +
1078,Sin Segmento,Credito,Nov,2016,Sin Info
1,Sin Segmento,Credito,Nov,2016,18 a 25
2,Sin Segmento,Credito,Nov,2016,18 a 25
2,Sin Segmento,Credito,Nov,2016,18 a 25
2,Sin Segmento,Credito,Nov,2016,18 a 25
1,Sin Segmento,Credito,Nov,2016,25 a 30
2,Sin Segmento,Credito,Nov,2016,25 a 30
1,Sin Segmento,Credito,Nov,2016,25 a 30
8,Sin Segmento,Credito,Nov,2016,25 a 30
2,Sin Segmento,Credito,Nov,2016,25 a 30
3,Sin Segmento,Credito,Nov,2016,25 a 30
5,Sin Segmento,Credito,Nov,2016,25 a 30
5,Sin Segmento,Credito,Nov,2016,25 a 30
6,Sin Segmento,Credito,Nov,2016,25 a 30
1,Sin Segmento,Credito,Nov,2016,25 a 30
6,Sin Segmento,Credito,Nov,2016,35 a 45
2,Sin Segmento,Credito,Nov,2016,35 a 45
5,Sin Segmento,Credito,Nov,2016,35 a 45
2,Sin Segmento,Credito,Nov,2016,35 a 45
4,Sin Segmento,Credito,Nov,2016,35 a 45
2,Sin Segmento,Credito,Nov,2016,35 a 45
5,Sin Segmento,Credito,Nov,2016,35 a 45
5,Sin Segmento,Credito,Nov,2016,35 a 45
4,Sin Segmento,Credito,Nov,2016,35 a 45
4,Sin Segmento,Credito,Nov,2016,45 a 55
1,Sin Segmento,Credito,Nov,2016,45 a 55
3,Sin Segmento,Credito,Nov,2016,45 a 55
1,Sin Segmento,Credito,Nov,2016,45 a 55
4,Sin Segmento,Credito,Nov,2016,45 a 55
3,Sin Segmento,Credito,Nov,2016,45 a 55
3,Sin Segmento,Credito,Nov,2016,45 a 55
1,Sin Segmento,Credito,Nov,2016,45 a 55
2,Sin Segmento,Credito,Nov,2016,45 a 55
1,Sin Segmento,Credito,Nov,2016,55 a 65
1,Sin Segmento,Credito,Nov,2016,55 a 65
4,Sin Segmento,Credito,Nov,2016,55 a 65
4,Sin Segmento,Credito,Nov,2016,55 a 65
2,Sin Segmento,Credito,Nov,2016,55 a 65
1,Sin Segmento,Credito,Nov,2016,55 a 65
2,Sin Segmento,Credito,Nov,2016,55 a 65
2,Sin Segmento,Credito,Nov,2016,55 a 65
2,Sin Segmento,Credito,Nov,2016,65 +
1,Sin Segmento,Credito,Nov,2016,65 +
1,Sin Segmento,Credito,Nov,2016,65 +
1,Sin Segmento,Credito,Nov,2016,65 +
1,Sin Segmento,Credito,Nov,2016,65 +
2,Sin Segmento,Credito,Nov,2016,65 +
1,Sin Segmento,Credito,Nov,2016,65 +
1187,Sin Segmento,Credito,Dec,2016,Sin Info
2,Sin Segmento,Credito,Dec,2016,18 a 25
3,Sin Segmento,Credito,Dec,2016,18 a 25
2,Sin Segmento,Credito,Dec,2016,18 a 25
1,Sin Segmento,Credito,Dec,2016,25 a 30
1,Sin Segmento,Credito,Dec,2016,25 a 30
2,Sin Segmento,Credito,Dec,2016,25 a 30
5,Sin Segmento,Credito,Dec,2016,25 a 30
3,Sin Segmento,Credito,Dec,2016,25 a 30
2,Sin Segmento,Credito,Dec,2016,25 a 30
2,Sin Segmento,Credito,Dec,2016,25 a 30
2,Sin Segmento,Credito,Dec,2016,25 a 30
1,Sin Segmento,Credito,Dec,2016,25 a 30
2,Sin Segmento,Credito,Dec,2016,35 a 45
3,Sin Segmento,Credito,Dec,2016,35 a 45
3,Sin Segmento,Credito,Dec,2016,35 a 45
4,Sin Segmento,Credito,Dec,2016,35 a 45
1,Sin Segmento,Credito,Dec,2016,35 a 45
1,Sin Segmento,Credito,Dec,2016,35 a 45
3,Sin Segmento,Credito,Dec,2016,35 a 45
1,Sin Segmento,Credito,Dec,2016,35 a 45
2,Sin Segmento,Credito,Dec,2016,35 a 45
2,Sin Segmento,Credito,Dec,2016,35 a 45
1,Sin Segmento,Credito,Dec,2016,45 a 55
3,Sin Segmento,Credito,Dec,2016,45 a 55
1,Sin Segmento,Credito,Dec,2016,45 a 55
3,Sin Segmento,Credito,Dec,2016,45 a 55
4,Sin Segmento,Credito,Dec,2016,45 a 55
1,Sin Segmento,Credito,Dec,2016,45 a 55
4,Sin Segmento,Credito,Dec,2016,45 a 55
1,Sin Segmento,Credito,Dec,2016,45 a 55
2,Sin Segmento,Credito,Dec,2016,45 a 55
1,Sin Segmento,Credito,Dec,2016,55 a 65
4,Sin Segmento,Credito,Dec,2016,55 a 65
2,Sin Segmento,Credito,Dec,2016,55 a 65
1,Sin Segmento,Credito,Dec,2016,55 a 65
3,Sin Segmento,Credito,Dec,2016,55 a 65
1,Sin Segmento,Credito,Dec,2016,55 a 65
1,Sin Segmento,Credito,Dec,2016,55 a 65
1,Sin Segmento,Credito,Dec,2016,55 a 65
2,Sin Segmento,Credito,Dec,2016,55 a 65
1,Sin Segmento,Credito,Dec,2016,65 +
1,Sin Segmento,Credito,Dec,2016,65 +
1,Sin Segmento,Credito,Dec,2016,65 +
2,Sin Segmento,Credito,Dec,2016,65 +
1,Sin Segmento,Credito,Dec,2016,65 +
1,Sin Segmento,Credito,Dec,2016,65 +
1,Sin Segmento,Credito,Dec,2016,65 +
1,Sin Segmento,Credito,Dec,2016,65 +
189,Sin Segmento,Debito,Jan,2017,Sin Info
1,Sin Segmento,Debito,Jan,2017,18 a 25
1,Sin Segmento,Debito,Jan,2017,18 a 25
2,Sin Segmento,Debito,Jan,2017,18 a 25
3,Sin Segmento,Debito,Jan,2017,18 a 25
2,Sin Segmento,Debito,Jan,2017,18 a 25
4,Sin Segmento,Debito,Jan,2017,25 a 30
3,Sin Segmento,Debito,Jan,2017,25 a 30
4,Sin Segmento,Debito,Jan,2017,25 a 30
4,Sin Segmento,Debito,Jan,2017,25 a 30
1,Sin Segmento,Debito,Jan,2017,25 a 30
3,Sin Segmento,Debito,Jan,2017,25 a 30
2,Sin Segmento,Debito,Jan,2017,25 a 30
2,Sin Segmento,Debito,Jan,2017,25 a 30
1,Sin Segmento,Debito,Jan,2017,25 a 30
6,Sin Segmento,Debito,Jan,2017,25 a 30
4,Sin Segmento,Debito,Jan,2017,35 a 45
4,Sin Segmento,Debito,Jan,2017,35 a 45
2,Sin Segmento,Debito,Jan,2017,35 a 45
2,Sin Segmento,Debito,Jan,2017,35 a 45
2,Sin Segmento,Debito,Jan,2017,35 a 45
2,Sin Segmento,Debito,Jan,2017,35 a 45
5,Sin Segmento,Debito,Jan,2017,35 a 45
2,Sin Segmento,Debito,Jan,2017,35 a 45
3,Sin Segmento,Debito,Jan,2017,45 a 55
1,Sin Segmento,Debito,Jan,2017,45 a 55
1,Sin Segmento,Debito,Jan,2017,45 a 55
4,Sin Segmento,Debito,Jan,2017,45 a 55
4,Sin Segmento,Debito,Jan,2017,45 a 55
3,Sin Segmento,Debito,Jan,2017,45 a 55
2,Sin Segmento,Debito,Jan,2017,45 a 55
1,Sin Segmento,Debito,Jan,2017,45 a 55
1,Sin Segmento,Debito,Jan,2017,45 a 55
2,Sin Segmento,Debito,Jan,2017,55 a 65
1,Sin Segmento,Debito,Jan,2017,55 a 65
1,Sin Segmento,Debito,Jan,2017,55 a 65
2,Sin Segmento,Debito,Jan,2017,55 a 65
1,Sin Segmento,Debito,Jan,2017,65 +
1,Sin Segmento,Debito,Jan,2017,65 +
1,Sin Segmento,Debito,Jan,2017,65 +
1,Sin Segmento,Debito,Jan,2017,65 +
1,Sin Segmento,Debito,Jan,2017,65 +
82,Sin Segmento,Debito,Feb,2017,Sin Info
1,Sin Segmento,Debito,Feb,2017,18 a 25
2,Sin Segmento,Debito,Feb,2017,18 a 25
1,Sin Segmento,Debito,Feb,2017,18 a 25
1,Sin Segmento,Debito,Feb,2017,18 a 25
1,Sin Segmento,Debito,Feb,2017,18 a 25
2,Sin Segmento,Debito,Feb,2017,25 a 30
2,Sin Segmento,Debito,Feb,2017,25 a 30
2,Sin Segmento,Debito,Feb,2017,25 a 30
1,Sin Segmento,Debito,Feb,2017,25 a 30
3,Sin Segmento,Debito,Feb,2017,35 a 45
1,Sin Segmento,Debito,Feb,2017,35 a 45
1,Sin Segmento,Debito,Feb,2017,35 a 45
1,Sin Segmento,Debito,Feb,2017,35 a 45
1,Sin Segmento,Debito,Feb,2017,35 a 45
1,Sin Segmento,Debito,Feb,2017,45 a 55
1,Sin Segmento,Debito,Feb,2017,55 a 65
1,Sin Segmento,Debito,Feb,2017,65 +
96,Sin Segmento,Debito,Aug,2016,Sin Info
1,Sin Segmento,Debito,Aug,2016,18 a 25
3,Sin Segmento,Debito,Aug,2016,18 a 25
1,Sin Segmento,Debito,Aug,2016,18 a 25
2,Sin Segmento,Debito,Aug,2016,18 a 25
2,Sin Segmento,Debito,Aug,2016,25 a 30
2,Sin Segmento,Debito,Aug,2016,25 a 30
1,Sin Segmento,Debito,Aug,2016,25 a 30
2,Sin Segmento,Debito,Aug,2016,25 a 30
3,Sin Segmento,Debito,Aug,2016,25 a 30
3,Sin Segmento,Debito,Aug,2016,25 a 30
2,Sin Segmento,Debito,Aug,2016,25 a 30
3,Sin Segmento,Debito,Aug,2016,25 a 30
1,Sin Segmento,Debito,Aug,2016,25 a 30
2,Sin Segmento,Debito,Aug,2016,35 a 45
1,Sin Segmento,Debito,Aug,2016,35 a 45
1,Sin Segmento,Debito,Aug,2016,35 a 45
3,Sin Segmento,Debito,Aug,2016,35 a 45
2,Sin Segmento,Debito,Aug,2016,35 a 45
1,Sin Segmento,Debito,Aug,2016,35 a 45
1,Sin Segmento,Debito,Aug,2016,35 a 45
3,Sin Segmento,Debito,Aug,2016,35 a 45
1,Sin Segmento,Debito,Aug,2016,45 a 55
2,Sin Segmento,Debito,Aug,2016,45 a 55
1,Sin Segmento,Debito,Aug,2016,45 a 55
1,Sin Segmento,Debito,Aug,2016,45 a 55
2,Sin Segmento,Debito,Aug,2016,55 a 65
1,Sin Segmento,Debito,Aug,2016,55 a 65
2,Sin Segmento,Debito,Aug,2016,55 a 65
3,Sin Segmento,Debito,Aug,2016,55 a 65
1,Sin Segmento,Debito,Aug,2016,65 +
1,Sin Segmento,Debito,Aug,2016,65 +
1,Sin Segmento,Debito,Aug,2016,65 +
1,Sin Segmento,Debito,Aug,2016,65 +
182,Sin Segmento,Debito,Sep,2016,Sin Info
3,Sin Segmento,Debito,Sep,2016,18 a 25
1,Sin Segmento,Debito,Sep,2016,18 a 25
1,Sin Segmento,Debito,Sep,2016,25 a 30
4,Sin Segmento,Debito,Sep,2016,25 a 30
1,Sin Segmento,Debito,Sep,2016,25 a 30
3,Sin Segmento,Debito,Sep,2016,25 a 30
4,Sin Segmento,Debito,Sep,2016,25 a 30
4,Sin Segmento,Debito,Sep,2016,25 a 30
2,Sin Segmento,Debito,Sep,2016,25 a 30
1,Sin Segmento,Debito,Sep,2016,25 a 30
1,Sin Segmento,Debito,Sep,2016,25 a 30
2,Sin Segmento,Debito,Sep,2016,25 a 30
3,Sin Segmento,Debito,Sep,2016,35 a 45
4,Sin Segmento,Debito,Sep,2016,35 a 45
3,Sin Segmento,Debito,Sep,2016,35 a 45
4,Sin Segmento,Debito,Sep,2016,35 a 45
5,Sin Segmento,Debito,Sep,2016,35 a 45
4,Sin Segmento,Debito,Sep,2016,35 a 45
2,Sin Segmento,Debito,Sep,2016,35 a 45
4,Sin Segmento,Debito,Sep,2016,35 a 45
1,Sin Segmento,Debito,Sep,2016,35 a 45
2,Sin Segmento,Debito,Sep,2016,45 a 55
2,Sin Segmento,Debito,Sep,2016,45 a 55
1,Sin Segmento,Debito,Sep,2016,45 a 55
2,Sin Segmento,Debito,Sep,2016,45 a 55
1,Sin Segmento,Debito,Sep,2016,45 a 55
1,Sin Segmento,Debito,Sep,2016,45 a 55
2,Sin Segmento,Debito,Sep,2016,55 a 65
1,Sin Segmento,Debito,Sep,2016,55 a 65
2,Sin Segmento,Debito,Sep,2016,55 a 65
1,Sin Segmento,Debito,Sep,2016,55 a 65
1,Sin Segmento,Debito,Sep,2016,65 +
157,Sin Segmento,Debito,Oct,2016,Sin Info
2,Sin Segmento,Debito,Oct,2016,18 a 25
2,Sin Segmento,Debito,Oct,2016,18 a 25
1,Sin Segmento,Debito,Oct,2016,18 a 25
1,Sin Segmento,Debito,Oct,2016,18 a 25
1,Sin Segmento,Debito,Oct,2016,25 a 30
2,Sin Segmento,Debito,Oct,2016,25 a 30
4,Sin Segmento,Debito,Oct,2016,25 a 30
3,Sin Segmento,Debito,Oct,2016,25 a 30
4,Sin Segmento,Debito,Oct,2016,25 a 30
2,Sin Segmento,Debito,Oct,2016,25 a 30
3,Sin Segmento,Debito,Oct,2016,25 a 30
2,Sin Segmento,Debito,Oct,2016,25 a 30
5,Sin Segmento,Debito,Oct,2016,25 a 30
3,Sin Segmento,Debito,Oct,2016,25 a 30
1,Sin Segmento,Debito,Oct,2016,35 a 45
2,Sin Segmento,Debito,Oct,2016,35 a 45
2,Sin Segmento,Debito,Oct,2016,35 a 45
2,Sin Segmento,Debito,Oct,2016,35 a 45
4,Sin Segmento,Debito,Oct,2016,35 a 45
1,Sin Segmento,Debito,Oct,2016,35 a 45
4,Sin Segmento,Debito,Oct,2016,35 a 45
3,Sin Segmento,Debito,Oct,2016,35 a 45
2,Sin Segmento,Debito,Oct,2016,35 a 45
1,Sin Segmento,Debito,Oct,2016,45 a 55
3,Sin Segmento,Debito,Oct,2016,45 a 55
3,Sin Segmento,Debito,Oct,2016,45 a 55
2,Sin Segmento,Debito,Oct,2016,45 a 55
2,Sin Segmento,Debito,Oct,2016,45 a 55
2,Sin Segmento,Debito,Oct,2016,45 a 55
2,Sin Segmento,Debito,Oct,2016,45 a 55
1,Sin Segmento,Debito,Oct,2016,45 a 55
1,Sin Segmento,Debito,Oct,2016,45 a 55
2,Sin Segmento,Debito,Oct,2016,55 a 65
2,Sin Segmento,Debito,Oct,2016,55 a 65
1,Sin Segmento,Debito,Oct,2016,55 a 65
1,Sin Segmento,Debito,Oct,2016,55 a 65
1,Sin Segmento,Debito,Oct,2016,55 a 65
2,Sin Segmento,Debito,Oct,2016,65 +
1,Sin Segmento,Debito,Oct,2016,65 +
167,Sin Segmento,Debito,Nov,2016,Sin Info
1,Sin Segmento,Debito,Nov,2016,18 a 25
1,Sin Segmento,Debito,Nov,2016,18 a 25
2,Sin Segmento,Debito,Nov,2016,18 a 25
7,Sin Segmento,Debito,Nov,2016,18 a 25
1,Sin Segmento,Debito,Nov,2016,18 a 25
1,Sin Segmento,Debito,Nov,2016,18 a 25
4,Sin Segmento,Debito,Nov,2016,25 a 30
2,Sin Segmento,Debito,Nov,2016,25 a 30
8,Sin Segmento,Debito,Nov,2016,25 a 30
5,Sin Segmento,Debito,Nov,2016,25 a 30
4,Sin Segmento,Debito,Nov,2016,25 a 30
1,Sin Segmento,Debito,Nov,2016,25 a 30
5,Sin Segmento,Debito,Nov,2016,25 a 30
3,Sin Segmento,Debito,Nov,2016,25 a 30
5,Sin Segmento,Debito,Nov,2016,25 a 30
4,Sin Segmento,Debito,Nov,2016,35 a 45
2,Sin Segmento,Debito,Nov,2016,35 a 45
1,Sin Segmento,Debito,Nov,2016,35 a 45
6,Sin Segmento,Debito,Nov,2016,35 a 45
1,Sin Segmento,Debito,Nov,2016,35 a 45
3,Sin Segmento,Debito,Nov,2016,35 a 45
4,Sin Segmento,Debito,Nov,2016,35 a 45
1,Sin Segmento,Debito,Nov,2016,35 a 45
4,Sin Segmento,Debito,Nov,2016,35 a 45
3,Sin Segmento,Debito,Nov,2016,45 a 55
1,Sin Segmento,Debito,Nov,2016,45 a 55
5,Sin Segmento,Debito,Nov,2016,45 a 55
3,Sin Segmento,Debito,Nov,2016,45 a 55
2,Sin Segmento,Debito,Nov,2016,45 a 55
1,Sin Segmento,Debito,Nov,2016,45 a 55
3,Sin Segmento,Debito,Nov,2016,45 a 55
1,Sin Segmento,Debito,Nov,2016,45 a 55
1,Sin Segmento,Debito,Nov,2016,45 a 55
1,Sin Segmento,Debito,Nov,2016,55 a 65
2,Sin Segmento,Debito,Nov,2016,55 a 65
2,Sin Segmento,Debito,Nov,2016,55 a 65
1,Sin Segmento,Debito,Nov,2016,55 a 65
1,Sin Segmento,Debito,Nov,2016,55 a 65
1,Sin Segmento,Debito,Nov,2016,65 +
1,Sin Segmento,Debito,Nov,2016,65 +
192,Sin Segmento,Debito,Dec,2016,Sin Info
1,Sin Segmento,Debito,Dec,2016,18 a 25
1,Sin Segmento,Debito,Dec,2016,18 a 25
2,Sin Segmento,Debito,Dec,2016,18 a 25
1,Sin Segmento,Debito,Dec,2016,18 a 25
3,Sin Segmento,Debito,Dec,2016,18 a 25
2,Sin Segmento,Debito,Dec,2016,18 a 25
3,Sin Segmento,Debito,Dec,2016,25 a 30
4,Sin Segmento,Debito,Dec,2016,25 a 30
3,Sin Segmento,Debito,Dec,2016,25 a 30
3,Sin Segmento,Debito,Dec,2016,25 a 30
1,Sin Segmento,Debito,Dec,2016,25 a 30
5,Sin Segmento,Debito,Dec,2016,25 a 30
5,Sin Segmento,Debito,Dec,2016,25 a 30
1,Sin Segmento,Debito,Dec,2016,25 a 30
2,Sin Segmento,Debito,Dec,2016,25 a 30
2,Sin Segmento,Debito,Dec,2016,35 a 45
5,Sin Segmento,Debito,Dec,2016,35 a 45
2,Sin Segmento,Debito,Dec,2016,35 a 45
3,Sin Segmento,Debito,Dec,2016,35 a 45
4,Sin Segmento,Debito,Dec,2016,35 a 45
4,Sin Segmento,Debito,Dec,2016,35 a 45
1,Sin Segmento,Debito,Dec,2016,35 a 45
3,Sin Segmento,Debito,Dec,2016,35 a 45
2,Sin Segmento,Debito,Dec,2016,35 a 45
3,Sin Segmento,Debito,Dec,2016,35 a 45
1,Sin Segmento,Debito,Dec,2016,45 a 55
1,Sin Segmento,Debito,Dec,2016,45 a 55
1,Sin Segmento,Debito,Dec,2016,45 a 55
4,Sin Segmento,Debito,Dec,2016,45 a 55
2,Sin Segmento,Debito,Dec,2016,45 a 55
2,Sin Segmento,Debito,Dec,2016,45 a 55
2,Sin Segmento,Debito,Dec,2016,45 a 55
1,Sin Segmento,Debito,Dec,2016,45 a 55
1,Sin Segmento,Debito,Dec,2016,55 a 65
